name,lat,long
Stop Point (Green Garden Stop Point) Angkot #28,-6.1533394,106.9485193
halte pelumpang pertamina,-6.1266847,106.893841
halte walikota jakarta utara,-6.1205868,106.8931124
Halte Sahari,-6.1277779,106.8464371
SDN Pondok Kelapa 05,-6.2404946,106.9428364
Taman Anggrek,-6.1760383,106.7926484
Grand Sahid,-6.2109376,106.8205691
Karet Sudirman 3,-6.2121267,106.819964
Perpustakaan Umum Daerah,-6.2223396,106.8326541
Asrama UI,-6.3483498,106.8297711
Universitas Indonesia,-6.3535289,106.8318182
Metro Alam III,-6.2732583,106.7827596
Metro Alam III,-6.2753938,106.7821019
Harmoni Central Busway,-6.165812,106.8204387
Grogol Reformasi,-6.1673317,106.7882638
Galur,-6.1744166,106.8547177
Denpasar Arah Timur,-6.2327047,106.8217239
Landmark Auto Plaza,-6.1249972,106.8000099
Taman Sari,-6.1493027,106.8167033
PGC,-6.2620275,106.8654261
Pulogebang,-6.2117281,106.9512437
Pancoran Arah Barat,-6.2416725,106.8372822
Ragunan,-6.3057626,106.8190175
Sawah Besar,-6.1601812,106.8192259
Kayu Jati,-6.193262,106.8836945
Rawamangun,-6.1929121,106.8803154
Velodrome,-6.1934641,106.8883007
Pulo Gadung,-6.1831813,106.9088927
M.H. Thamrin 1,-6.1879003,106.8232561
Gelora Bung Karno 1,-6.2246739,106.8055632
Gelora Bung Karno 2,-6.2241017,106.8056025
Anjungan Jambi,-6.2998085,106.8926164
Halte BEI,-6.2231832,106.8093561
London School,-6.2053403,106.8167553
Halte Pal Putih,-6.1816483,106.8428742
Semanggi,-6.2205372,106.8131677
Danau TMP Kalibata,-6.2557314,106.8493674
Pasar Rumput,-6.20712,106.8411231
Flyover Pramuka,-6.1989006,106.8544856
Pramuka Sari,-6.1922351,106.8685673
Pasar Genjing,-6.1944472,106.8609219
Utan Kayu,-6.1927391,106.86458
Juanda (Bus Wisata),-6.1681749,106.8312889
Monas 1,-6.1725384,106.823196
Balai Kota 1,-6.1806211,106.8284307
Monas 3,-6.1792545,106.8230523
Museum Nasional,-6.1763278,106.8226322
Gedung Arsip (Bus Wisata),-6.1535465,106.8173795
Pasar Baru Gedung Kesenian Jakarta,-6.1666345,106.8352307
Denpasar Arah Barat,-6.2333148,106.8218967
Manggarai,-6.2088691,106.8474339
Mangga Besar,-6.1522468,106.8173456
Mangga Besar,-6.1521587,106.8174429
Slamet Riyadi 1,-6.2084889,106.8590316
Pondok Gede Raya,-6.2895461,106.8802519
Dukuh 5,-6.2898854,106.8775139
Tamini Square 2,-6.2916017,106.8808847
Tamini Square 1,-6.2915276,106.8806631
Masjid At Tin,-6.298404,106.8832405
Tugu Proklamasi,-6.2025914,106.8477848
Pusdikkes,-6.2776957,106.8694841
Rumah Sakit Pusdikkes,-6.277837,106.8693688
Iskandar Muda,-6.2442391,106.7825538
Plaza Indonesia,-6.1934835,106.8228616
Wisma Nusantara,-6.1932605,106.8232401
Bundaran Senayan 1,-6.2274883,106.8018286
Dukuh Atas 4,-6.2046855,106.8221035
Plaza Sentral,-6.216281,106.8167323
Benhil 2,-6.2167345,106.8154478
Jalan Taman Jatibaru Timur,-6.1827873,106.8128351
Terminal Pulogebang,-6.2129141,106.9527033
RS PIK 1,-6.1123857,106.752659
Waterboom Jakarta 2,-6.1132402,106.7490248
Fresh Market PIK,-6.102875,106.7412383
PIK Avenue,-6.1087276,106.7397283
Jak Lingko Tanah Abang 2,-6.1837937,106.81161
Explorer Tanah Abang,-6.1843173,106.8115851
Tanah Abang 2,-6.1819597,106.8140493
JPO Asrama Polri Cideng,-6.1794,106.8127549
Pasar Tomas,-6.179306,106.8131041
Sbr. Polsek Tj. Priok,-6.115168,106.88061
Polsek Tj. Priok,-6.115316,106.88029
Taman Gorontalo,-6.113101,106.88321
Sbr. Taman Gorontalo,-6.112994,106.88324
Pusat Mode Tanah Abang,-6.1865469,106.8157469
Jalan Kebon Kacang VIII,-6.1872262,106.8183191
Rusun Tanah Abang 1,-6.1923093,106.8148781
Jalan Cideng Barat Dalam,-6.1813928,106.8132207
Roxy Hasyim Ashari,-6.1659154,106.8091333
RS Sumber Waras 1,-6.166423,106.7975881
Simpang Tarakan Cideng Barat,-6.170608,106.8107541
Simpang Kyai Haji Hasyim Cideng Barat,-6.1661475,106.810332
Jalan Tanjung Gedong,-6.1666789,106.7937485
Jalan Petojo Selatan VII,-6.1688562,106.8105968
Pemadam Tanjung Duren,-6.1736292,106.7879808
Gerbang Tol Tanjung Duren,-6.1731383,106.7904797
Rumah Susun Bendungan Hilir,-6.2013561,106.8080091
Pekerjaan Umum Irigasi,-6.2014933,106.8108052
Kelurahan Bendungan Hilir,-6.2015972,106.8080746
Tegalan 3,-6.2047653,106.8579935
Tegalan 1,-6.2023993,106.856511
Kemensos,-6.1986726,106.8533921
RSCM 1,-6.1985508,106.8465678
ABA,-6.1940844,106.8394628
Megaria,-6.1999607,106.8445368
Pegangsaan Timur,-6.1992077,106.8420565
Farmasi RP Soeroso,-6.1879244,106.8360904
Seberang Kanisius,-6.1855468,106.8358586
Kanisius,-6.1852981,106.8354649
Sari San Mandiri,-6.1854569,106.8233404
