name,lat,long
Kalbis Institute,-6.1789536,106.8773059
Indonesia International Institute for Life-Sciences,-6.1791793,106.8784888
Sekolah Pasca Sarjana USAHID,-6.2099066,106.8196221
Institut Agama Islam Al-Ghurabaa,-6.1991362,106.8922699
Podomoro University,-6.1775616,106.7916374
ST BAHASA ASING,-6.2231786,106.8668375
Akademi Keperawatan PGI Cikini,-6.1903806,106.841702
Universitas Sampoerna,-6.2485855,106.8437139
Politeknik Kartini Jakarta,-6.2382146,106.7703622
Central Queensland University Jakarta Study Hub,-6.2304292,106.8236985
Universitas Kejuangan 45 Jakarta,-6.134490792112848,106.73807995976374
Universitas Mpu Tantular,-6.22565967615646,106.87646550657293
Universitas Jayabaya,-6.353731150128198,106.86108518419617
Universitas Yarsi,-6.169709101714119,106.86977585363378
Universitas MH Thamrin,-6.287696555002123,106.87475611465331
Universitas Borobudur,-6.2440133009819005,106.89763632740538
Universitas Budi Luhur,-6.199368083511155,106.8531985965832
Universitas Persada Indonesia Fakultas Teknik UPI YAI,-6.192805515869182,106.84915056511251
Universitas MH Thamrin Kampus AKA,-6.240430920856379,106.81755633424919
Institut Pengembangan Manajemen Indonesia,-6.257428317447239,106.85488042532658
Universitas Negeri Jakarta,-6.191881842346689,106.88800395861615
Institut STIAMI,-6.176959481938258,106.85829855006955
Kampus Kejaksaan,-6.311150909359186,106.8916774072958
Institut Pembina Rohani Islam Jakarta (IPRIJA),-6.3442176584963414,106.88514036886474
Universitas Darma Persada,-6.229625849973766,106.92416257695902
Universitas Dirgantara Marsekal Suryadarma,-6.262654389630686,106.88813035164279
Universitas Mercu Buana,-6.209830486573579,106.73900922856186
Kampus Gunadarma,-6.134465564857693,106.73336046803801
Fakultas Kedokteran Ukrida,-6.185246438122893,106.78009088555541
Universitas Esa Unggul,-6.185702015269462,106.77890696019328
Universitas Negeri Jakarta Kampus PGSD,-6.210653472582497,106.82544539006112
Universitas Islam At Tahiriyah,-6.224196312193011,106.85993872108797
Pasca Sarjana Universitas Brawijaya,-6.2059401278268,106.83345843891901
Universitas Negeri Jakarta Kampus D Psikologi,-6.205702975387148,106.83354208823123
Universitas Krisanti Widya Mandiri,-6.223484871410612,106.86233880316057
BRI Corporate University,-6.302686435073665,106.82178777301134
Universitas Trilogi,-6.253165865377095,106.84909426631428
Universitas Nasional,-6.2812738476289915,106.83934019767848
Universitas Negeri Jakarta,-6.194521841938763,106.8783868120027
UBS Business School,-6.2855246000000005,106.79612554999999
Binus University,-6.228877722918359,106.79674672278513
Universitas Mercubuana,-6.277356721677424,106.82932969515272
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",-6.315836157551729,106.79426785665824
Universitas Indonesia,-6.361317267299701,106.82737849291999
Institut Bisnis Nusantara,-6.2373500090100125,106.87644497799158
Universitas Azzahra,-6.223261629401941,106.86574884176142
Sekolah Pasca Sarjana Uhamka,-6.273442267224907,106.83063848746413
Sekolah Tinggi Ilmu Bahasa Asing,-6.22320683673922,106.86687021498334
Universitas Nahdlatul Ulama Jakarta,-6.202933977769181,106.85105186730651
Universitas Terbuka UPBJJ-UT Jakarta,-6.20140650274993,106.87255219786104
BULOG Corporate University,-6.235846594135496,106.82940467714279
Universitas Katolik Indonesia Atmajaya,-6.218738725308256,106.81532358081522
Universitas Wiraswasta Indonesia,-6.2250585080657075,106.86894972922617
Universitas Surapati,-6.252168596719502,106.86433784191902
Pascasarjana Universitas Islam Jakarta,-6.1971292316515285,106.8700350299877
Universitas Bakrie,-6.220508460574764,106.83317583534152
Universitas Paramadina,-6.241245090557286,106.8329545041109
Universitas Kristen Indonesia,-6.248985525714261,106.87242416267051
GS Fame Institute Of Business,-6.1735709675695665,106.88901463997531
Fakultas Kedokteran UI Program D III Perumahsakitan,-6.198653189457495,106.84242900106945
Universitas Pancasila Program Pasca Sarjana,-6.200820009916236,106.84647361704685
Kampus III Universitas Bung Karno,-6.239056702622406,106.81471052516456
Kampus B Universitas MH Thamrin,-6.283434968541262,106.87104939954419
Universitas Bung Karno,-6.199256004715595,106.84254517179915
University of Persada Indonesia Y.A.I,-6.196410781274951,106.84917931441315
Universitas MH Thamrin,-6.19344266606178,106.85016295143566
Universitas Indonesia,-6.194405074371367,106.84765018387758
Institut Kesenian Jakarta,-6.1881068267213495,106.84089682865452
Universitas Islam Jakarta,-6.197223479310024,106.86899386054093
Universitas Krisnadwipayana,-6.170642053889329,106.80871497831792
Institut Agama Islam Jamiat Kheir,-6.19065908265806,106.81548474456874
Universitas Muhammadiyah Jakarta,-6.172792475790336,106.87210535226774
Master of Management Faculty of Economy and Business UGM,-6.214809331419151,106.84473762752005
Universitas Prof Dr Moestopo,-6.228932118839103,106.79611521168488
Universitas Muhammadiyah Prof. Dr. Hamka,-6.3030971631131765,106.87169040307344
Universitas Brawijaya Pasca Sarjana,-6.176503689084515,106.81955870033845
Universitas Borobudur,-6.192452062681544,106.88036438139557
Universitas Ibnu Chaldun Jakarta,-6.191820250000002,106.87800595
Universitas Muhammadiyah Prof. Dr. Hamka Fakultas Farmasi dan Sains,-6.219939407478956,106.92884381713517
Institut Sains dan Tehnologi Nasional,-6.354318394586517,106.81304081922698
Universitas Pancasila,-6.339236288962934,106.83309154454791
Sekolah Tinggi Ilmu Ekonomi Swadaya,-6.249070385353618,106.90785771686264
Institut PTIQ Jakarta,-6.293651714154067,106.77160833665083
Institut Perguruan Tinggi Ilmu Qur'an,-6.291184872138752,106.77173053120062
Universitas Indraprasta PGRI (Pusat Laboratorium),-6.301991356635177,106.84985294202497
Universitas Tama Jagakarsa,-6.302314065706719,106.840729635159
Institut STIAMI Jakarta,-6.303591911661927,106.85124899293886
Universitas Indraprasta,-6.303170562210393,106.85047289347877
Universitas Ibnu Chaldun Jakarta,-6.191635292780338,106.87784629754783
Universitas Jayabaya,-6.179632401961471,106.87744213026048
Institut Teknologi Budi Utomo,-6.221459084819329,106.93998204013135
Institut Sains dan Teknologi Al-Kamal,-6.186457389512262,106.760105047485
Universitas Respati Indonesia,-6.316282319814683,106.90103980669753
Universitas BINUS (Bina Nusantara) Kampus Anggrek,-6.2019916575846175,106.7810694988382
STIKES Tarumanegara,-6.293306702238761,106.81714669961642
Universitas Nasional Sekolah Pascasarjana,-6.298425466435801,106.82062028584527
