name,lat,long
Hypermart,-6.1946879,106.8156052
Grand Lucky,-6.1332263,106.8306577
The FoodHall,-6.2276886,106.7973554
Foodmart Fresh Plaza Semanggi,-6.2199982,106.8141554
Angke Fish Market,-6.10717,106.7745403
Carrefour,-6.2230704,106.8260443
Hero,-6.2650962,106.8207591
Giant,-6.2893523,106.7772184
Carrefour,-6.2205653,106.7827417
Hero,-6.1656702,106.7592412
Super Indo,-6.1654142,106.7820668
Farmer's Market,-6.2183153,106.8351265
Lotte Mart,-6.2268317,106.8013602
Super Indo,-6.2165785,106.7652267
SuperIndo,-6.1167853,106.7593423
Indoguna,-6.2393277,106.8115771
Alfamidi Muncang,-6.1161374,106.907078
Indomaret,-6.2480434,106.7728918
Alfa Midi,-6.2484777,106.7734127
Pasar Enjo,-6.2150083,106.8782975
Daily Foodhall,-6.1953235,106.8202971
Super Indo,-6.1979154,106.7447329
Super Indo,-6.1369305,106.8732689
Jameson's Supermarket,-6.1979634,106.7459683
All Fresh PIK,-6.1166783,106.756376
Jakarta Fruit Market Pluit,-6.1220081,106.7914785
Prima Fresh Mart Meruya,-6.1982317,106.7372431
Resto Ever Fresh Market,-6.2009586,106.8093205
Prima Fresh Market Sunter,-6.1372826,106.8711443
Total Buah Segar RS Fatmawati,-6.2877128,106.7951937
Total Buah Segar Boulevard Raya,-6.1689916,106.9003313
Maxim Gajah Mada,-6.146882,106.8157824
Prima Fresh Market Mangga Besar,-6.1494252,106.8257193
All Fresh Gatot Subroto,-6.2413154,106.8391521
Indomaret,-6.2902014,106.7711339
Ranch Farmer's Market,-6.1073063,106.7781368
Indomaret,-6.3008781,106.7807313
Indomaret,-6.3012882,106.7805123
Indomaret,-6.2830928,106.7716541
Alfamart,-6.2829283,106.771661
Ranch Market,-6.224218,106.8229358
FoodMart Primo,-6.1904104,106.7388572
Swalayan Cahaya,-6.3318565,106.8077964
Super Indo,-6.224403,106.8779792
Giant Hypermarket,-6.1891008,106.7963762
Super Indo,-6.1941301,106.8906367
Hypermart,-6.1520113,106.7139602
Transmart Carrefour,-6.1774596,106.7914774
Ranch Market,-6.2464326,106.7943582
Spar,-6.152886,106.7283583
Carrefour,-6.139452,106.7308169
Superindo,-6.1223401,106.916011
Ramayana,-6.2852433,106.8408505
Hero,-6.187933,106.7346307
Sogo,-6.1884847,106.734183
Super Indo,-6.1743238,106.7654481
Duta Buah,-6.1482843,106.8297957
Aneka Buana Pondok Labu,-6.3093848,106.7938927
FoodHall,-6.2248899,106.7989928
HERO,-6.1774015,106.7932664
Hero Supermarket,-6.1685711,106.7862393
Alfamart,-6.2012816,106.7827417
Food Market,-6.2916363,106.7991995
Lotte Mart,-6.2243547,106.8288951
Transmart,-6.1165033,106.7911924
Indomaret Plus Karang Tengah,-6.3111696,106.7812984
Pasar Grogol,-6.1627764,106.797192
Hero Supermarket,-6.2213588,106.7876868
FoodHall,-6.1580295,106.9073977
Rezeki,-6.1694462,106.773885
The FoodHall,-6.1086453,106.7403477
HERO,-6.2655982,106.7848167
Alfamart,-6.2454585,106.9078022
Alfamart,-6.2452444,106.9052828
The FoodHall,-6.265507,106.7824981
Mamasewa.com | Sewa Pompa Asi | Sewa Stroller,-6.1950641,106.9608562
alfa-X,-6.1697327,106.7905302
Mall Citra Klender,-6.2141023,106.9032192
Prima Freshmart,-6.1161359,106.7808133
VhetStore,-6.2997621,106.8426576
Alfamidi Pepaya,-6.3217699,106.8187694
Superindo Kahfi,-6.3133417,106.8124744
Nasrindo Toserba,-6.3092551,106.827219
Alfamart,-6.3132677,106.8033528
Alfamidi,-6.3100238,106.803851
Djayalina Variasi Motor,-6.1576887,106.8238584
Alfamidi,-6.3306687,106.8273631
Alfamart,-6.3084128,106.7978062
Indomaret,-6.3079778,106.7984641
Indomaret,-6.3451497,106.8294402
Alfamart,-6.3448256,106.8286433
Circle K,-6.1924013,106.8420952
Alfamidi,-6.3015151,106.795181
Alfamidi,-6.2966446,106.7947764
Alfamart,-6.2942678,106.7949934
All Fresh Puri Pesanggrahan,-6.1864857,106.7547855
Indomaret,-6.3119003,106.7903105
Alfamart,-6.3111077,106.7857882
