name,lat,long
Rumah Sakit Pelita Harapan,-6.1698218,106.7837097
Dentista,-6.2854953,106.8335564
Rumah Sakit Ketergantungan Obat,-6.3469579,106.8724481
RSUD TARAKAN JAKARTA,-6.1715508,106.8102456
RSIA Tambak,-6.206253,106.8486027
apotik & Lab Muara Karang,-6.1155534,106.7807682
GETHealthy Clinic,-6.1247726,106.7111509
Rumah Sakit Ibu dan Anak Ibnu Sina,-6.1604025,106.7960691
Klinik SouthernUK,-6.2078757,106.8675387
Puskesmas Kecamatan Senen Kramat Baru,-6.1823419,106.8442225
Ocean Dental Tebet,-6.2282877,106.8554624
Dermaster Pakubuwono,-6.2406854,106.7879005
Rumah Sakit Ibu dan Anak Aries,-6.1576355,106.809994
RS FIRDAUS,-6.156138,106.923068
RS YARSI JAKARTA,-6.1698396,106.8690492
RSU SUMBER WARAS,-6.1686623,106.7976264
RSUD KALIDERES,-6.1461812,106.7082289
RS CENDANA,-6.1874113,106.760937
RS SILOAM KEBON JERUK,-6.1908388,106.7637229
RS MEDIKA PERMATA HIJAU,-6.2181713,106.778025
RSUD TAMAN SARI,-6.143789,106.819198
RS CIPUTRA CITRAGARDEN CITY,-6.1230894,106.704998
RS MENTENG MITRA AFIA,-6.1869354,106.838375
RS HERMINA DAAN MOGOT,-6.152934,106.712303
RS BHAKTI MULIA,-6.1995871,106.8005392
RS ANGGREK MAS,-6.2030307,106.7726845
RS ISLAM JAKARTA CEMPAKA PUTIH,-6.1706549,106.8708222
RSUD CEMPAKA PUTIH,-6.184668,106.8723994
RS PELNI PETAMBURAN,-6.1931924,106.8036904
RSUD JOHOR BARU,-6.1818356,106.8504657
RS PRIMAYA PGI CIKINI,-6.1914003,106.8419064
RSU PURI INDAH PONDOK INDAH,-6.1859889,106.7353186
RS GRHA KEDOYA,-6.1683669,106.7651412
RS MANUELA,-6.1504414,106.825941
RSPAD GATOT SUBROTO,-6.1766462,106.8372815
RSU PATRIA JAKARTA,-6.1973116,106.7926441
RSUD ABDI WALUYO,-6.1898118,106.8293431
RSU ROYAL TARUMA,-6.1665351,106.7852311
RSUD TANAH ABANG,-6.1910555,106.8144549
RSUD KEMAYORAN,-6.1567123,106.8637725
RSUPN dr. CIPTO MANGUNKUSOMO,-6.1969653,106.8468102
RS PERTAMINA JAYA,-6.1731387,106.8758643
RS PRIMAYA EVASARI,-6.1935611,106.8598631
RSAL dr. MINTOHARDJO,-6.2108836,106.811964
RSUD SAWAH BESAR,-6.1489027,106.8298217
RS MITRA KELUARGA KEMAYORAN,-6.1521122,106.8585957
RS ST. CAROLUS,-6.1958347,106.8517604
RSUD PASAR MINGGU,-6.2941394,106.8199641
RS HERMINA KEMAYORAN,-6.1542245,106.8456843
RSUD KEBAYORAN BARU,-6.2655496,106.7986721
RS RADJAK SALEMBA,-6.1936527,106.8520454
RS KRAMAT 128,-6.1856105,106.8439659
RSUD JAGAKARSA,-6.3161758,106.8113627
RS MURNI TEGUH SUDIRMAN JAKARTA,-6.2095279,106.8193331
RSUD PESANGGRAHAN,-6.2581316,106.7567132
RSUD TEBET,-6.2316371,106.8466802
RS HUSADA,-6.1474995,106.829499
RSUD JATI PADANG,-6.2855018,106.8423101
RSUD KEBAYORAN LAMA,-6.2487063,106.785659
RSUD MAMPANG PRAPATAN,-6.2404652,106.8269643
RS DR. SUTOYO PUSREHAB KEMHAN,-6.2673998,106.7666233
RS PUSAT PERTAMINA,-6.2401658,106.7929683
RS TEBET,-6.2427408,106.8501648
RS SILOAM ASRI,-6.254542,106.8323327
RS SILOAM TB SIMATUPANG,-6.2922458,106.7843724
RS METROPOLITAN MEDICAL CENTER (MMC) JAKARTA,-6.2199712,106.8324591
RS BRAWIJAYA SAHARJO,-6.2245705,106.8480329
RS AGUNG,-6.2091793,106.8463579
RS JAKARTA MEDICAL CENTER,-6.2713208,106.8302102
RS MAYAPADA KUNINGAN,-6.2185271,106.8318222
RS ALI SIBROH MALISI,-6.3448144,106.8138523
RS HARAPAN KARTINI,-6.2860998,106.8159371
RS GANDARIA,-6.2439271,106.7907444
RS TRIA DIPA,-6.250886,106.8419482
RS MUHAMMADIYAH TAMAN PURING,-6.2417055,106.7871369
RS AULIA,-6.3345083,106.8273883
RS MARINIR CILANDAK,-6.3048414,106.810618
RS JAKARTA,-6.2184766,106.8161444
RS SETIA MITRA,-6.2812583,106.7958226
RS PRIKASIH,-6.3145283,106.7941837
RS MEDISTRA,-6.2398422,106.8336631
RS ANTAM MEDIKA,-6.192682,106.9026992
RS PETUKANGAN,-6.2368522,106.7517244
RS PONDOK INDAH,-6.2838411,106.7815932
RSUD KRAMAT JATI,-6.2868679,106.8622797
RS HAJI JAKARTA,-6.2898814,106.8891492
RSUP FATMAWATI,-6.2950564,106.7964535
RSKB COLUMBIA ASIA PULOMAS,-6.1821493,106.891082
RSUD CIRACAS,-6.3455971,106.8738712
RSUD MATRAMAN,-6.2062623,106.8660138
RS YADIKA KEBAYORAN LAMA,-6.2550734,106.7777289
RSUD PASAR REBO,-6.3033892,106.8618752
RSAU DR. ESNAWAN ANTARIKSA,-6.2573733,106.8918558
RSUD BUDHI ASIH,-6.2560273,106.862978
RS BHAYANGKARA RADEN SAID SUKANTO,-6.2696092,106.8711147
RS RIDWAN MOREKSA,-6.2942592,106.8825824
RS ADHYAKSA,-6.3078316,106.8927312
RS YADIKA PONDOK BAMBU,-6.2371953,106.8991335
RS HERMINA JATINEGARA,-6.2215235,106.8644361
RSUP PERSAHABATAN,-6.2026878,106.8847484
RS HARAPAN BUNDA,-6.3029512,106.8680213
RS DHARMA NUGRAHA,-6.1960084,106.8863978
RS HARAPAN JAYAKARTA,-6.1948769,106.9062814
RS KESDAM JAYA CIJANTUNG,-6.3073687,106.8589442
RS ISLAM JAKARTA PONDOK KOPI,-6.2200191,106.9396181
RSUD PADEMANGAN,-6.1328308,106.8402507
RS KARTIKA PULOMAS,-6.1759668,106.8848922
RSUD TANJUNG PRIOK,-6.116082,106.8888254
RSU PANTAI INDAH KAPUK,-6.1118898,106.7527392
RS HARUM SISMA MEDIKA,-6.2481403,106.9096007
RS UNIVERSITAS KRISTEN INDONESIA,-6.2506392,106.8719111
RS EMC PULOMAS,-6.1802378,106.8837433
RS PREMIER JATINEGARA,-6.2216981,106.8686714
RS PENGAYOMAN CIPINANG,-6.2149417,106.8837596
RS MEDIROS,-6.1798914,106.9036994
RSUD CILINCING,-6.112986,106.9262566
RSUD KOJA,-6.1089322,106.8996682
RS DUTA INDAH,-6.1384133,106.7837975
RS PELABUHAN JAKARTA,-6.1249202,106.9178262
RS PUSDIKKES,-6.276816,106.8694697
RS ROYAL PROGRESS,-6.1394322,106.865455
RSUD TUGU KOJA,-6.1274896,106.906859
RS HERMINA PODOMORO,-6.1455694,106.8613627
RS ATMA JAYA,-6.1264458,106.7926902
RS PURI MEDIKA,-6.1291818,106.890191
