name,lat,long
"TK, SD, SMP GKPI Rawamangun",-6.1997558,106.8919112
Yayasan Darul Marfu',-6.2590186,106.7895671
SMK Ristek Hasanudin,-6.1211131,106.9171535
SMK Pelayaran Bimasakti,-6.2256423,106.8768763
SMK Multimedi Nusantara,-6.2257363,106.8767931
RA-MI-MTS Darul Ulum,-6.1980056,106.7824638
TK-SD Elo 1,-6.1527553,106.8093999
Midiatama Academy,-6.1919484,106.7452699
SD Bendungan Hilir,-6.2135186,106.8114337
SDIT Asy-Syafi'i,-6.334808,106.8511149
SDIT Harapan Ummat,-6.2061134,106.8506481
SMK Farmasi IKIFA,-6.2158871,106.9208819
SMK Malaka,-6.2215287,106.9394324
KB - TK - SD Agape Kudus,-6.1346877,106.7062166
KB - TK - SD Dharma Surya,-6.1345091,106.7052993
TK - SD Syalom,-6.1578635,106.8090512
Sekolah Kristen Calvin SD-SMP-SMA,-6.152846,106.8429744
RA-MI Al-Khairiyyah MJ,-6.3267039,106.8591468
SLB Kembar Karya Pembangunan II,-6.233512,106.9384906
MI Nurul Ikhwan,-6.1200825,106.8673329
SD Negeri Lubang Buaya 05 Pagi,-6.2885386,106.8999365
SD Harapan Kasih,-6.1804742,106.7829761
SMA Buah Hati,-6.3443858,106.8849289
SMK Bina Nusa Mandiri,-6.3282,106.8806082
"SMP - SMA Cengkareng 1, SMK Cengkareng 2 Jakarta",-6.1343645,106.7380087
SMPN 244 Terbuka,-6.0992505,106.9617231
SMP 266,-6.0990595,106.9616644
SMK Bintang Nusantara,-6.0983334,106.9617433
"SD, SMP Al Humaid",-6.2347218,106.8972323
Heritage School,-6.2220353,106.7831684
MA Nurul Jalal,-6.1220063,106.8813283
SD Juara Jakarta Utara I,-6.1258717,106.8919201
SD Islam Terpadu Al - Mu'min,-6.1753382,106.9085788
Montessori Gading Permata School,-6.1168147,106.770876
PKBM Dorkas,-6.1349004,106.8298759
Sekolah Menengah Kejuruan Dradjat (SKMD),-6.1180644,106.9582471
Yayasan Ayah Bunda Cintaku,-6.3116282,106.8173314
Penabur 6,-6.1150368,106.7748375
"SMP, SMK, SMA, STM DHARMA PUTRA",-6.1228544,106.8861926
Springfield International School PB3,-6.166528,106.7466761
Madrasah Ibtidaiyah Al Furqon,-6.1454378,106.7304884
Kristen Yusuf High School,-6.1414119,106.7948013
SD Negeri Kramat 08/09,-6.1876557,106.8472263
SMP Muhammadiyah 2 Jakarta,-6.1614627,106.8426765
MAN 3 JAKARTA PUSAT,-6.1846038,106.8727636
SD Muhammadiyah Al Bayyinah,-6.3555585,106.8088279
SMK & SMP Tanjung,-6.1615113,106.7962306
SMK Widya Patria 2,-6.213384,106.7252087
Yayasan Perguruan KRIS,-6.1892664,106.8312027
SMA Islam PB Soedirman,-6.3147745,106.8621984
Madrasah Manaratul Islam,-6.2671156,106.7936541
SMK Remaja Pluit,-6.12468,106.7909796
Perguruan Islam Al Islamiyah,-6.2429865,106.8364049
SD Kristen Nasional Anglo,-6.1865798,106.8578365
SD Kristen Nasional Anglo,-6.1866308,106.8730216
SDN Klender 03 Pagi,-6.2189798,106.9240758
UEC Education - CITOS Jakarta Office,-6.2914173,106.7993621
SDN Gandaria Utara 08 Pagi,-6.2578052,106.7880161
LKP Salon Dewi,-6.1573088,106.7007994
SMA Negeri 96 Jakarta,-6.1466837,106.7398435
Sekolah Kristen BPK PENABUR Jakarta - TKK 1 - Samanhudi,-6.159993,106.8345797
Sekolah Kristen BPK PENABUR Jakarta - SDK 1 - Samanhudi,-6.1599287,106.8345949
SD Negeri Karet 04 dan 05 Pagi,-6.2158666,106.8251453
Yayasan Mubasysyirin Setiabudi,-6.2154729,106.8262738
SMK Negeri 27 Jakarta,-6.166210714873503,106.83572380868762
MI At Taqwa 20,-6.149686181141487,106.97161305375494
SD Negeri Utan Kayu Selatan 11 Pagi,-6.2074047306614215,106.87166940126575
Yayasan Rumah Pendidikan Islam,-6.227962249218227,106.83488858914373
SD Umum,-6.183996431760174,106.85567361233015
SD Negeri Tanah Tinggi 01 Pagi,-6.1766191244589255,106.84654904601402
SD Negeri Rawa Bunga 11 dan 12,-6.221608898976447,106.87144565942464
SMA Tarakanita 1 & SMK Tarakanita,-6.245867040872132,106.81229925960758
SMP Negeri 149 Jakarta,-6.229818328240601,106.88210448449398
SMA Negeri 100 Jakarta,-6.229358423854806,106.88232643866493
SLB Pangudi Luhur,-6.187717315039343,106.75497694108957
SD Negeri Menteng 01 Jakarta,-6.1986995589679985,106.82906142875707
SD dan SMP Swasta YWKA I,-6.217773004728847,106.8519384226463
SD Muhammadiyah,-6.234598951334005,106.85358762788658
SD Negeri Manggarai 1 Pagi/02 petang,-6.212904193065134,106.8561455625307
SD Negeri Kebon Baru 9 Pagi,-6.232524085762603,106.85887763984101
SMK Karya Guna,-6.210637160018257,106.85169272761338
SD SMP PGRI,-6.230253923558227,106.8555182704432
SD Negeri Karet 04 dan 05 Pagi,-6.215898577251815,106.82513659095659
"SD Negeri Cakung Barat 06, 07 Pagi dan 11, 12 Petang",-6.19163542401557,106.94277958093839
Sekolah Paket 1,-6.212635499652421,106.81531370281562
SD Tarakanita 5,-6.194210526645626,106.88908452901312
SD-SMP-SMA Santo Yoseph,-6.181521504606865,106.96974398873802
SD Bhakti (YKKP),-6.191292142244349,106.78347435629952
"SD, SMP, SMA Don Bosco",-6.17444750117661,106.88145329946454
MTs-MI-TK Islam Ar-Rahmah,-6.346112356811691,106.885002334385
SD-SMP Harapan Bunda,-6.195096158852296,106.94939310909291
"Perkumpulan Strada - KB, TK, SD, SMP",-6.2802157613325065,106.83366109537546
SD Negeri 01 Pagi Kebon Manggis,-6.210942435294424,106.85804702354388
Perkumpulan Sekolah Kristen Djakarta,-6.211730176580898,106.85890647885066
SD Negeri Kebon Manggis 08 Pagi,-6.204994093274867,106.8567674486293
SMK Negeri 24 Jakarta,-6.321675883816775,106.89979912937753
SD Negeri Tanjung Barat 07,-6.3063747894706985,106.8435936653619
Sekolah Citra Kasih,-6.135726976419949,106.70177643043723
Al Ihsan School,-6.198022687892162,106.72954848726226
SD Negeri Menteng Atas 11,-6.21626913641017,106.84122952099702
SMK Budi Murni 1 dan 3,-6.23108657177477,106.91070965761595
SMP SMA Katolik Abdi Siswa,-6.181552524202885,106.78020992654717
"SD Negeri Serdang 01 03 Pagi, 04 Petang",-6.161312833513169,106.8634076486172
BPS & K,-6.233362519019435,106.93879468857686
"MI, SDI Al Khairiyah",-6.11528600602359,106.91019324817832
SD Negeri Kalisari 02,-6.333022767664001,106.84646108150793
SD Negeri Tanjung Duren Selatan 05 Pagi,-6.181220527470712,106.7856008160617
"SMP, SMA Tanjung Priok",-6.114756171774234,106.91116468440714
SDN Pondok Bambu 02 Pagi,-6.233586876518491,106.89688525815096
SMP Negeri 161 Jakarta,-6.2465394239202245,106.7731074729302
SMP Negeri 201 Jakarta,-6.127111129371437,106.73448493899754
SD Kwitang 6 PSKD,-6.241601713547687,106.79575125509129
SMK Kartika X-2,-6.252476691116317,106.75592636857186
SD Negeri Grogol Utara 01 Pagi,-6.218120997658443,106.79394702252007
SMP - SMA - SMK 1 Cengkareng Jakarta,-6.142349672388181,106.71793473064703
MI Negeri 7 Cengkareng,-6.145619275576209,106.73609927969224
SMK Negeri 33 Jakarta,-6.167203916295377,106.91271795890637
SMA Negeri 69 Jakarta,-5.747706427608871,106.61374925760965
SMP Negeri 231 Jakarta,-6.125753343331182,106.92463268298494
SD Tunas Keluarga Mulia 1 (Strada),-6.110891427505089,106.9224784106017
TK - SD - SMP - SMA Methodist,-6.1356465848824255,106.79043108812483
TK-SD Tunas Karya,-6.1548383403216675,106.87599091840842
SMP Negeri 204 Jakarta,-6.139805291351139,106.70138708253188
Highscope Indonesia,-6.293589526515744,106.80423240052892
MTs-MA Raudhatul Jannatinna'im,-6.132359486977304,106.8365534138601
SD El Shaddai Pelita Bangsa School,-6.117766754491722,106.70296890405831
Labschool Rawamangun,-6.194092448755559,106.8805583009955
SMA Negeri 39 Jakarta,-6.321410534102827,106.8499105825761
SD Negeri Tengah 07 Pagi,-6.298988037565156,106.86838064451648
SMP Negeri 12 Jakarta,-6.249272256045194,106.80315731055039
SMP Negeri 91 Jakarta,-6.351591999544324,106.86558989029888
SMP Negeri 179 Jakarta,-6.331225568729043,106.85215484302482
Yayasan Pendidikan Ignatius Slamet Riyadi (TK-SD-SMP-SMA),-6.316948649804777,106.86257201377673
SMK Paskita Global,-6.322693049883044,106.86273666829902
SD Negeri Pekayon 09 Pagi-14 Petang,-6.341920719786094,106.86096531418242
SD Negeri Pekayon 10 Pagi,-6.341317721748242,106.8610145360678
SMP Negeri 102 Jakarta,-6.3097027037294655,106.85847447384178
SD Negeri Kelapa Dua Wetan 04 Pagi,-6.347489349999999,106.88340719999998
SD Negeri Cijantung 03 Pagi,-6.3194169897370225,106.85150793936471
SD Negeri Baru 03 Pagi,-6.324662481517716,106.85404894874657
SMP Negeri 217 Jakarta,-6.324782536078154,106.8546137926684
SD Negeri Gedong 08 Pagi,-6.301690736204839,106.86658386923622
SD Swasta Kartika VIII,-6.285126818863305,106.86860305424045
SMP Negeri 20,-6.28563892806908,106.86960257884563
SD Negeri Kramatjati 03 Pagi,-6.266599676306604,106.86753966757176
SD Negeri Kramatjati 25 Pagi,-6.282633790134586,106.87281976971578
"SD Negeri Susukan 01,02 Pagi & 13 Petang",-6.310813291403501,106.86547775984963
"SD Negeri Cipinang Melayu 05, 07 & 08 Pagi",-6.245089250051481,106.89838988041903
SMA Negeri 14 Jakarta,-6.2564488399955875,106.86763455446406
Sekolah Sinar Kasih,-6.24816738696283,106.86549423331357
SD Negeri Cipinang Melayu 03 Pagi,-6.251469656707848,106.9178658753696
SMA Negeri 81 Jakarta,-6.251072864881401,106.91833171387314
SD Negeri Baru 08,-6.328024525250571,106.84757404203023
SD Negeri Kalisari 05 Pagi,-6.337085999178134,106.85488915313235
SMA Negeri 88 Jakarta,-6.328016712098403,106.84712079468189
SMK Negeri 22 Jakarta,-6.29480145688751,106.855352678819
SD Negeri Baru 05 Pagi,-6.323790067288985,106.85231415022822
SMP Negeri 223 Jakarta,-6.297761505029576,106.85869181128051
SMK PGRI 28 Jakarta,-6.29479591484289,106.8548355051378
SMA Negeri 28 Jakarta,-6.285838806454494,106.8333655797529
SMP Negeri 155 Jakarta,-6.245897079631581,106.85424368536228
SD Negeri Pejaten Timur 15 Pagi,-6.269621020957915,106.84796254087897
SD Negeri Pekayon 16/17 Pagi,-6.335192150308066,106.86326338542148
SMK Negeri 34 Jakarta,-6.190214749917975,106.84797680843761
SD Negeri Cililutan 02/04,-6.264678337199426,106.86071046455555
SD Negeri Pejaten Barat 12 Pagi,-6.268716773954486,106.84039262399727
SD Negeri Halim Perdanakusuma 01 Pagi,-6.2672003834633445,106.87807100031723
BPK Penabur,-6.169815112814648,106.84070896065923
SD Negeri Cijantung 06 Pagi-09 Petang,-6.327727139857689,106.86215177441663
SMP Negeri 251 Jakarta,-6.327743930480689,106.86152342847926
MI Sa'asatuddarain,-6.343814000642844,106.86317160012733
